city,date,Hazel,Alder,Birch,Grass,Ragweed,Mugwort
Berlin,2026-05-21,None,None,None,Moderate,None,None
Dresden,2026-05-21,None,None,None,Moderate,None,None
Düsseldorf,2026-05-21,None,None,None,Moderate,None,None
Erfurt,2026-05-21,None,None,None,Moderate,None,None
Frankfurt,2026-05-21,None,None,None,Moderate,None,None
Hamburg,2026-05-21,None,None,None,Low,None,None
Hanover,2026-05-21,None,None,None,Moderate,None,None
Magdeburg,2026-05-21,None,None,None,Moderate,None,None
Mainz,2026-05-21,None,None,None,Moderate,None,None
Munich,2026-05-21,None,None,None,Moderate,None,None
Rostock,2026-05-21,None,None,None,Moderate,None,None
Stuttgart,2026-05-21,None,None,None,Moderate,None,None
Berlin,2026-05-22,None,None,None,Moderate,None,None
Dresden,2026-05-22,None,None,None,Moderate,None,None
Düsseldorf,2026-05-22,None,None,None,Moderate,None,None
Erfurt,2026-05-22,None,None,None,Moderate,None,None
Frankfurt,2026-05-22,None,None,None,Moderate,None,None
Hamburg,2026-05-22,None,None,None,Low,None,None
Hanover,2026-05-22,None,None,None,Moderate,None,None
Magdeburg,2026-05-22,None,None,None,Moderate,None,None
Mainz,2026-05-22,None,None,None,Moderate,None,None
Munich,2026-05-22,None,None,None,Moderate,None,None
Rostock,2026-05-22,None,None,None,Moderate,None,None
Stuttgart,2026-05-22,None,None,None,Moderate,None,None
