city,date,Hazel,Alder,Birch,Grass,Ragweed,Mugwort
Berlin,2026-05-18,None,None,Very Low,Low,None,None
Dresden,2026-05-18,None,None,Very Low,Low,None,None
Düsseldorf,2026-05-18,None,None,None,Very Low,None,None
Erfurt,2026-05-18,None,None,Very Low,Low,None,None
Frankfurt,2026-05-18,None,None,None,Low,None,None
Hamburg,2026-05-18,None,None,None,Low,None,None
Hanover,2026-05-18,None,None,None,Very Low,None,None
Magdeburg,2026-05-18,None,None,Very Low,Low,None,None
Mainz,2026-05-18,None,None,None,Low,None,None
Munich,2026-05-18,None,None,None,Low,None,None
Rostock,2026-05-18,None,None,None,Low,None,None
Stuttgart,2026-05-18,None,None,None,Low,None,None
Berlin,2026-05-19,None,None,None,Low,None,None
Dresden,2026-05-19,None,None,None,Low,None,None
Düsseldorf,2026-05-19,None,None,None,Low,None,None
Erfurt,2026-05-19,None,None,None,Low,None,None
Frankfurt,2026-05-19,None,None,None,Low,None,None
Hamburg,2026-05-19,None,None,None,Low,None,None
Hanover,2026-05-19,None,None,None,Low,None,None
Magdeburg,2026-05-19,None,None,None,Low,None,None
Mainz,2026-05-19,None,None,None,Low,None,None
Munich,2026-05-19,None,None,None,Low,None,None
Rostock,2026-05-19,None,None,None,Low,None,None
Stuttgart,2026-05-19,None,None,None,Low,None,None
