city,date,temp_max,temp_min,rain_sum,wind_max,wind_direction
Berlin,2026-05-18,20.0,8.5,0.0,13.7,112
Berlin,2026-05-19,19.7,9.7,0.0,9.3,203
Berlin,2026-05-20,19.6,13.5,0.1,9.5,222
Berlin,2026-05-21,21.7,12.9,0.0,11.0,272
Berlin,2026-05-22,23.9,13.8,0.0,9.9,312
Berlin,2026-05-23,26.2,14.9,0.0,7.5,109
Berlin,2026-05-24,29.5,15.7,0.0,7.8,130
Hamburg,2026-05-18,18.8,11.5,3.0,13.9,169
Hamburg,2026-05-19,19.0,10.5,4.2,10.8,211
Hamburg,2026-05-20,18.2,12.3,2.9,14.4,209
Hamburg,2026-05-21,20.6,12.4,0.0,16.2,248
Hamburg,2026-05-22,25.9,13.8,0.0,6.3,254
Hamburg,2026-05-23,27.7,16.2,0.0,13.6,135
Hamburg,2026-05-24,30.2,15.2,0.0,12.8,344
Munich,2026-05-18,18.4,4.2,0.2,15.0,270
Munich,2026-05-19,18.3,9.7,3.7,9.5,250
Munich,2026-05-20,17.0,10.7,3.98,11.9,257
Munich,2026-05-21,21.1,9.8,2.9,7.6,303
Munich,2026-05-22,24.2,11.2,0.0,11.8,89
Munich,2026-05-23,25.4,12.1,0.0,9.4,86
Munich,2026-05-24,25.6,11.7,0.0,12.0,68
Frankfurt,2026-05-18,16.2,9.6,2.4,11.8,228
Frankfurt,2026-05-19,18.1,7.6,2.5,11.1,206
Frankfurt,2026-05-20,17.8,11.6,3.63,10.7,226
Frankfurt,2026-05-21,23.0,11.4,0.0,7.7,256
Frankfurt,2026-05-22,26.9,11.5,0.0,8.3,81
Frankfurt,2026-05-23,27.6,14.2,0.0,10.6,109
Frankfurt,2026-05-24,28.0,16.0,0.0,8.6,338
Stuttgart,2026-05-18,17.1,7.7,3.3,12.4,225
Stuttgart,2026-05-19,18.6,7.6,2.1,15.1,231
Stuttgart,2026-05-20,17.8,12.1,2.98,10.2,225
Stuttgart,2026-05-21,22.9,9.6,0.0,5.9,60
Stuttgart,2026-05-22,26.3,11.6,0.0,10.1,95
Stuttgart,2026-05-23,27.9,13.0,0.0,8.0,150
Stuttgart,2026-05-24,26.1,15.5,0.0,10.8,350
Dresden,2026-05-18,19.8,7.2,0.0,7.4,106
Dresden,2026-05-19,19.9,10.9,0.0,10.7,302
Dresden,2026-05-20,19.4,11.6,0.1,10.5,260
Dresden,2026-05-21,22.0,11.8,0.0,12.6,291
Dresden,2026-05-22,24.5,11.9,0.0,7.0,346
Dresden,2026-05-23,25.0,13.0,0.0,8.7,87
Dresden,2026-05-24,27.6,12.6,0.0,6.0,126
Düsseldorf,2026-05-18,16.8,10.8,10.6,17.3,209
Düsseldorf,2026-05-19,17.6,9.2,3.3,15.8,172
Düsseldorf,2026-05-20,17.4,12.8,3.97,25.6,226
Düsseldorf,2026-05-21,21.0,11.1,0.5,8.5,232
Düsseldorf,2026-05-22,24.0,12.2,0.0,8.1,128
Düsseldorf,2026-05-23,26.5,15.4,0.0,15.8,126
Düsseldorf,2026-05-24,27.0,17.9,0.0,11.1,138
Erfurt,2026-05-18,19.8,5.2,3.4,15.2,234
Erfurt,2026-05-19,18.3,6.2,0.4,9.5,229
Erfurt,2026-05-20,16.9,11.6,2.85,12.2,229
Erfurt,2026-05-21,21.1,9.7,0.0,9.9,256
Erfurt,2026-05-22,24.5,9.6,0.0,7.9,104
Erfurt,2026-05-23,25.4,10.8,0.0,10.1,106
Erfurt,2026-05-24,27.2,11.4,0.0,6.4,62
Hanover,2026-05-18,18.1,11.4,2.1,12.8,207
Hanover,2026-05-19,19.0,8.3,1.8,11.5,191
Hanover,2026-05-20,17.1,11.9,2.75,13.6,216
Hanover,2026-05-21,20.5,12.1,0.0,14.1,247
Hanover,2026-05-22,26.5,12.3,0.0,6.5,175
Hanover,2026-05-23,28.0,15.7,0.0,12.7,130
Hanover,2026-05-24,29.6,16.5,0.0,11.1,330
Magdeburg,2026-05-18,20.3,8.4,0.2,11.2,146
Magdeburg,2026-05-19,18.9,9.9,2.1,22.9,253
Magdeburg,2026-05-20,19.5,11.9,0.7,10.8,232
Magdeburg,2026-05-21,22.1,11.1,0.0,12.4,265
Magdeburg,2026-05-22,25.0,11.7,0.0,6.5,286
Magdeburg,2026-05-23,26.2,13.7,0.0,12.2,131
Magdeburg,2026-05-24,29.0,13.6,0.0,6.2,89
Mainz,2026-05-18,16.0,9.7,1.6,16.6,284
Mainz,2026-05-19,18.2,6.2,1.0,9.7,229
Mainz,2026-05-20,18.7,10.9,1.65,11.4,245
Mainz,2026-05-21,23.2,9.7,0.0,6.5,245
Mainz,2026-05-22,26.4,11.9,0.0,10.0,97
Mainz,2026-05-23,28.7,15.5,0.0,10.7,111
Mainz,2026-05-24,28.7,17.3,0.0,10.3,333
Rostock,2026-05-18,18.8,8.3,0.0,18.6,124
Rostock,2026-05-19,16.9,9.0,1.7,13.1,116
Rostock,2026-05-20,17.2,10.8,2.05,12.6,188
Rostock,2026-05-21,19.8,11.5,1.1,16.9,250
Rostock,2026-05-22,21.7,13.1,0.0,13.2,287
Rostock,2026-05-23,25.1,13.5,0.0,11.6,152
Rostock,2026-05-24,26.0,15.3,0.0,9.9,242
