city,date,Hazel,Alder,Birch,Grass,Ragweed,Mugwort
Berlin,2026-05-13,None,None,None,Very Low,None,None
Dresden,2026-05-13,None,None,None,Very Low,None,None
Düsseldorf,2026-05-13,None,None,None,Very Low,None,None
Erfurt,2026-05-13,None,None,None,Very Low,None,None
Frankfurt,2026-05-13,None,None,None,Very Low,None,None
Hamburg,2026-05-13,None,None,None,Very Low,None,None
Hanover,2026-05-13,None,None,None,Very Low,None,None
Magdeburg,2026-05-13,None,None,None,Very Low,None,None
Mainz,2026-05-13,None,None,None,Low,None,None
Munich,2026-05-13,None,None,Very Low,Very Low,None,None
Rostock,2026-05-13,None,None,None,Very Low,None,None
Stuttgart,2026-05-13,None,None,None,Low,None,None
Berlin,2026-05-14,None,None,None,Very Low,None,None
Dresden,2026-05-14,None,None,Very Low,Very Low,None,None
Düsseldorf,2026-05-14,None,None,None,Very Low,None,None
Erfurt,2026-05-14,None,None,None,Very Low,None,None
Frankfurt,2026-05-14,None,None,None,Very Low,None,None
Hamburg,2026-05-14,None,None,None,Very Low,None,None
Hanover,2026-05-14,None,None,None,Very Low,None,None
Magdeburg,2026-05-14,None,None,None,Very Low,None,None
Mainz,2026-05-14,None,None,None,Low,None,None
Munich,2026-05-14,None,None,None,Very Low,None,None
Rostock,2026-05-14,None,None,None,Very Low,None,None
Stuttgart,2026-05-14,None,None,None,Low,None,None
