city,date,temp_max,temp_min,rain_sum,wind_max,wind_direction
Berlin,2026-05-21,20.5,11.7,1.2,13.7,278
Berlin,2026-05-22,22.9,14.2,0.0,8.9,308
Berlin,2026-05-23,27.6,15.1,0.0,9.0,223
Berlin,2026-05-24,26.1,17.1,0.0,10.4,328
Berlin,2026-05-25,26.5,14.2,0.0,9.0,306
Berlin,2026-05-26,27.2,17.2,0.0,14.8,311
Berlin,2026-05-27,25.0,15.5,0.0,13.7,314
Hamburg,2026-05-21,19.0,12.9,0.0,15.1,268
Hamburg,2026-05-22,22.1,13.1,0.0,7.3,269
Hamburg,2026-05-23,27.9,14.6,0.0,12.0,240
Hamburg,2026-05-24,23.8,12.4,0.0,10.7,314
Hamburg,2026-05-25,27.2,13.8,0.0,10.1,276
Hamburg,2026-05-26,25.2,17.7,0.0,14.7,297
Hamburg,2026-05-27,24.0,12.6,0.0,11.4,323
Munich,2026-05-21,19.6,12.0,0.1,12.2,294
Munich,2026-05-22,23.1,10.3,0.0,11.4,88
Munich,2026-05-23,25.5,12.9,0.0,9.5,83
Munich,2026-05-24,27.6,13.7,0.0,7.2,58
Munich,2026-05-25,27.9,17.0,0.0,8.3,1
Munich,2026-05-26,29.2,16.8,0.0,11.0,23
Munich,2026-05-27,29.2,17.4,0.0,13.5,75
Frankfurt,2026-05-21,24.1,13.9,0.0,10.0,246
Frankfurt,2026-05-22,27.5,13.3,0.0,8.8,67
Frankfurt,2026-05-23,28.7,15.5,0.0,6.8,38
Frankfurt,2026-05-24,30.9,15.9,0.0,8.4,13
Frankfurt,2026-05-25,30.1,17.7,0.0,9.4,26
Frankfurt,2026-05-26,32.7,16.8,0.0,11.4,27
Frankfurt,2026-05-27,32.8,17.9,0.0,7.8,43
Stuttgart,2026-05-21,22.7,13.5,0.2,8.6,225
Stuttgart,2026-05-22,26.5,12.8,0.0,8.7,125
Stuttgart,2026-05-23,27.6,14.7,0.0,6.8,84
Stuttgart,2026-05-24,29.7,16.6,0.0,7.8,9
Stuttgart,2026-05-25,29.7,18.6,0.0,9.2,10
Stuttgart,2026-05-26,32.1,17.7,0.0,10.7,26
Stuttgart,2026-05-27,32.4,18.3,0.0,11.0,65
Dresden,2026-05-21,20.9,13.4,0.0,12.7,300
Dresden,2026-05-22,23.9,12.6,0.0,8.7,338
Dresden,2026-05-23,28.0,13.8,0.0,6.2,11
Dresden,2026-05-24,27.9,14.2,0.0,13.7,321
Dresden,2026-05-25,26.5,12.9,0.0,8.3,325
Dresden,2026-05-26,29.4,13.4,0.0,17.8,314
Dresden,2026-05-27,27.3,12.1,0.0,16.9,307
Düsseldorf,2026-05-21,22.9,14.0,0.0,13.7,256
Düsseldorf,2026-05-22,28.2,15.6,0.0,10.4,127
Düsseldorf,2026-05-23,30.9,19.1,0.0,10.4,142
Düsseldorf,2026-05-24,24.6,16.6,0.0,10.1,356
Düsseldorf,2026-05-25,26.0,13.9,0.0,7.0,37
Düsseldorf,2026-05-26,27.0,14.2,0.6,17.5,358
Düsseldorf,2026-05-27,18.0,10.4,0.0,17.4,355
Erfurt,2026-05-21,20.6,12.5,0.8,11.2,262
Erfurt,2026-05-22,24.3,10.0,0.0,8.3,66
Erfurt,2026-05-23,27.3,11.4,0.0,6.1,294
Erfurt,2026-05-24,28.1,14.0,0.0,11.7,293
Erfurt,2026-05-25,26.5,13.2,0.0,5.4,347
Erfurt,2026-05-26,29.2,12.8,0.0,9.7,343
Erfurt,2026-05-27,28.1,14.5,0.0,9.2,45
Hanover,2026-05-21,20.1,12.8,0.0,14.0,265
Hanover,2026-05-22,24.5,12.6,0.0,6.4,221
Hanover,2026-05-23,27.8,15.6,0.0,9.0,221
Hanover,2026-05-24,25.8,15.5,0.0,10.3,324
Hanover,2026-05-25,27.5,13.4,0.0,7.1,279
Hanover,2026-05-26,27.7,16.1,0.0,11.9,314
Hanover,2026-05-27,27.1,15.1,0.0,10.2,350
Magdeburg,2026-05-21,20.2,12.6,0.1,12.3,272
Magdeburg,2026-05-22,24.5,12.4,0.0,7.1,305
Magdeburg,2026-05-23,27.8,14.6,0.0,8.9,205
Magdeburg,2026-05-24,26.1,15.7,0.0,10.4,324
Magdeburg,2026-05-25,26.7,13.6,0.0,6.1,301
Magdeburg,2026-05-26,27.7,14.8,0.0,14.3,308
Magdeburg,2026-05-27,26.1,13.3,0.0,11.9,325
Mainz,2026-05-21,23.4,12.9,0.0,9.7,267
Mainz,2026-05-22,26.4,11.0,0.0,7.4,53
Mainz,2026-05-23,28.1,13.8,0.0,7.6,53
Mainz,2026-05-24,30.7,15.3,0.0,8.4,349
Mainz,2026-05-25,30.5,17.0,0.0,6.9,48
Mainz,2026-05-26,32.5,15.7,0.0,11.0,30
Mainz,2026-05-27,32.5,18.7,0.0,8.7,53
Rostock,2026-05-21,18.7,11.2,0.0,16.9,262
Rostock,2026-05-22,19.6,11.4,0.0,10.5,275
Rostock,2026-05-23,25.7,13.5,0.0,15.0,237
Rostock,2026-05-24,19.5,11.7,0.0,13.6,311
Rostock,2026-05-25,22.3,12.3,0.0,12.1,292
Rostock,2026-05-26,19.4,14.2,0.0,20.0,293
Rostock,2026-05-27,17.2,12.6,0.0,21.4,303
